City,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (kph),Country,Date
Khatanga,71.9667,102.5,1.07,98,89,4.62,RU,1622178578
Bethel,41.3712,-73.414,14.52,67,76,2.99,US,1622178215
Arraial do Cabo,-22.9661,-42.0278,21.94,89,2,3.2,BR,1622178200
Oriximiná,-1.7656,-55.8661,23.61,93,98,1.94,BR,1622178581
Barrow,71.2906,-156.7887,-0.99,80,90,6.69,US,1622178232
Pisco,-13.7,-76.2167,19.03,82,90,1.03,PE,1622178583
Huarmey,-10.0681,-78.1522,19.33,91,60,2.79,PE,1622178316
Hay River,60.8156,-115.7999,6.63,66,84,2.9,CA,1622178585
San Quintín,30.4833,-115.95,18.58,86,0,5.06,MX,1622178586
Vila do Maio,15.1333,-23.2167,20.44,83,19,6.72,CV,1622178587
Palmer,42.1584,-72.3287,12.72,58,20,0.45,US,1622178588
Magistral'nyy,56.1725,107.4458,15.6,24,1,2.27,RU,1622178588
Samarai,-10.6167,150.6667,26.24,64,99,6.9,PG,1622178588
Djambala,-2.5447,14.7533,20.69,77,100,0.34,CG,1622178589
Mataura,-46.1927,168.8643,9.71,98,100,1.41,NZ,1622178197
Qaanaaq,77.484,-69.3632,2.98,79,77,3.55,GL,1622178207
Tual,-5.6667,132.75,27.72,77,23,7.39,ID,1622178313
Lebu,-37.6167,-73.65,12.39,80,84,5.56,CL,1622178199
Concarneau,47.875,-3.9225,12.32,87,95,3.28,FR,1622178590
Saint Anthony,45.0205,-93.218,4.68,90,90,0.89,US,1622178591
Makakilo City,21.3469,-158.0858,25.44,62,1,2.06,US,1622178309
Calvinia,-31.4707,19.776,7.55,67,7,1.98,ZA,1622178591
Grindavik,63.8424,-22.4338,9.26,81,75,14.45,IS,1622178281
San Patricio,28.017,-97.5169,26.3,91,74,4.63,US,1622178593
Barwādih,23.8333,84.1167,29.75,60,100,3.74,IN,1622178594
Seymchan,62.8833,152.4333,7.79,79,100,4.33,RU,1622178594
Salalah,17.0151,54.0924,30.05,70,20,2.06,OM,1622178278
Soyo,-6.1349,12.3689,23.38,91,95,2.79,AO,1622178595
Madison,34.7334,-86.5667,21.07,89,1,2.03,US,1622178596
Erbil,36.1926,44.0106,33.9,13,0,6.17,IQ,1622178596
Inhambane,-23.865,35.3833,17.76,81,0,2.96,MZ,1622178597
Avarua,-21.2078,-159.775,25.03,100,75,6.17,CK,1622178202
Cockburn Town,21.4612,-71.1419,25.98,76,7,6.92,TC,1622178490
Sørland,67.667,12.6934,6.04,80,62,4.9,NO,1622178598
Bengkulu,-3.8004,102.2655,29.1,70,84,3.08,ID,1622178599
Lagoa,39.05,-27.9833,14.62,61,93,1.73,PT,1622178599
Paamiut,61.994,-49.6678,4.49,63,88,5.95,GL,1622178600
Lata,40.1629,-8.3327,11.05,85,55,0.96,PT,1622178600
Verkhnetulomskiy,68.6073,31.7962,4.07,69,96,4.64,RU,1622178603
Yellowknife,62.456,-114.3525,10.11,50,12,1.34,CA,1622178087
Christchurch,-43.5333,172.6333,10.05,76,20,1.79,NZ,1622178331
Puerto Ayora,-0.7393,-90.3518,23.64,93,89,1.34,EC,1622178305
Bambous Virieux,-20.3428,57.7575,25.14,78,75,3.98,MU,1622178196
Alofi,-19.0595,-169.9187,25.7,76,60,3.88,NU,1622178612
Constantine,36.365,6.6147,16.75,77,37,1.96,DZ,1622178443
Champerico,14.3,-91.9167,26.63,80,36,3.01,GT,1622178617
Whitehorse,60.7161,-135.0538,11.84,37,82,4.47,CA,1622178593
Visby,57.6409,18.296,7.94,87,75,4.12,SE,1622178619
Dawson,31.7735,-84.4466,25.36,68,52,3.48,US,1622178620
Cabedelo,-6.9811,-34.8339,22.37,81,50,4.5,BR,1622178620
Constitución,-35.3333,-72.4167,13.54,94,95,3.06,CL,1622178621
Viedma,-40.8135,-62.9967,12.95,42,31,10.35,AR,1622178231
Ancud,-41.8697,-73.8203,9.68,88,100,8.8,CL,1622178285
Ahipara,-35.1667,173.1667,15.63,73,11,5.22,NZ,1622178623
Yurla,59.3259,54.3223,14.2,77,88,2.42,RU,1622178624
Liberia,6.5,-9.5,22.45,99,39,0.59,LR,1622178625
Codrington,-38.2667,141.9667,12.85,55,62,4.39,AU,1622178238
Sobolevo,54.4299,31.8996,14.53,82,100,1.0,RU,1622178625
Hasaki,35.7333,140.8333,25.22,69,100,3.31,JP,1622178627
Sri Aman,1.2376,111.4621,29.77,78,74,1.18,MY,1622178628
Penzance,50.1186,-5.5371,10.4,94,100,2.22,GB,1622178628
East London,-33.0153,27.9116,15.88,69,71,2.69,ZA,1622178240
Bud,39.447,-86.1758,20.14,91,100,2.23,US,1622178629
Provideniya,64.3833,-173.3,8.06,57,0,7.0,RU,1622178248
Vestmannaeyjar,63.4427,-20.2734,8.43,88,100,14.91,IS,1622178632
Wittmund,53.5667,7.7833,8.82,91,40,2.57,DE,1622178632
Marzuq,14.4,46.4667,27.34,24,87,1.6,YE,1622178633
Meulaboh,4.1363,96.1285,30.47,59,86,1.0,ID,1622178272
Pangnirtung,66.1451,-65.7125,-3.36,94,87,0.9,CA,1622178634
Lorengau,-2.0226,147.2712,28.67,75,88,4.51,PG,1622178634
Chokurdakh,70.6333,147.9167,9.81,55,93,4.69,RU,1622178635
Norrtälje,59.758,18.705,5.7,97,100,2.85,SE,1622178636
Akhtanizovskaya,45.32,37.1,22.26,79,7,4.94,RU,1622178636
Solntsevo,51.4185,36.7499,20.19,76,100,1.75,RU,1622178637
Ketchikan,55.3422,-131.6461,11.99,78,7,1.85,US,1622178384
Gamba,-2.65,10.0,23.49,94,97,2.23,GA,1622178637
Zapolyarnyy,69.4154,30.8136,2.6,67,94,8.7,RU,1622178616
Farafangana,-22.8167,47.8333,20.42,84,6,1.76,MG,1622178638
Xingyi,24.1877,102.817,26.46,51,94,3.86,CN,1622178638
Ulladulla,-35.35,150.4667,14.08,52,91,7.87,AU,1622178639
Omsukchan,62.5333,155.8,1.99,87,100,4.25,RU,1622178639
Nemuro,43.3236,145.575,6.27,95,100,5.13,JP,1622178640
Cave Spring,37.2276,-80.0128,18.76,80,1,0.45,US,1622178641
Longyearbyen,78.2186,15.6401,-1.09,59,20,5.14,SJ,1622178641
Port Elizabeth,-33.918,25.5701,14.16,54,0,4.12,ZA,1622178031
Sitka,57.0531,-135.33,8.94,81,90,4.12,US,1622178355
Nikolskoye,59.7035,30.7861,11.51,87,25,3.07,RU,1622178276
Vaini,-21.2,-175.2,23.96,60,19,3.99,TO,1622178219
Bāniyās,35.1819,35.9487,24.16,73,4,4.45,SY,1622178642
Dunedin,-45.8742,170.5036,8.22,86,100,3.13,NZ,1622178622
Aklavik,68.2191,-135.0107,-0.6,68,100,6.64,CA,1622178194
Itarema,-2.9248,-39.9167,24.43,86,37,4.86,BR,1622178269
Lüderitz,-26.6481,15.1594,13.64,71,5,4.32,NA,1622178306
Cherskiy,68.75,161.3,15.03,32,85,10.42,RU,1622178644
Waipawa,-41.4122,175.5153,9.68,72,91,1.64,NZ,1622178251
Nanortalik,60.1432,-45.2371,4.44,82,74,1.46,GL,1622178270
George Town,5.4112,100.3354,32.16,69,20,0.89,MY,1622178078
Halifax,44.6453,-63.5724,7.95,65,83,2.68,CA,1622178242
Enshi,30.3,109.4833,19.25,81,100,1.34,CN,1622178646
Arman',59.7,150.1667,6.71,81,100,2.95,RU,1622178647
Vila Velha,-20.3297,-40.2925,21.64,95,10,0.89,BR,1622178238
Roebourne,-20.7833,117.1333,29.33,37,22,7.64,AU,1622178648
New Norfolk,-42.7826,147.0587,10.11,41,83,2.65,AU,1622178289
Ugoofaaru,5.6667,73.0,28.43,74,59,8.78,MV,1622178649
Saint-Joseph,-21.3667,55.6167,23.57,71,9,1.14,RE,1622178650
Cabo San Lucas,22.8909,-109.9124,26.82,64,100,5.98,MX,1622178247
Alice Springs,-23.7,133.8833,16.75,29,85,8.51,AU,1622178650
Adrar,20.5022,-10.0711,28.54,22,15,4.55,MR,1622178651
Katete,-0.7818,29.7544,18.17,77,90,0.81,UG,1622178651
Suleja,9.1758,7.1808,23.12,89,32,0.66,NG,1622178652
Kétou,7.3633,2.5998,24.24,96,100,1.27,BJ,1622178652
Kaitangata,-46.2817,169.8464,10.52,84,100,1.48,NZ,1622178338
San Cristobal,7.7669,-72.225,18.85,92,94,0.69,VE,1622178308
Wukari,7.85,9.7833,24.29,85,6,1.93,NG,1622178653
Gamboma,-1.8764,15.8644,22.91,73,75,1.11,CG,1622178654
Shugurovo,54.5083,52.1326,18.54,57,0,2.94,RU,1622178654
Katsuura,35.1333,140.3,22.03,67,100,9.2,JP,1622178330
Kiunga,-6.1219,141.2906,29.66,62,97,1.59,PG,1622178655
Tokonou,9.65,-9.7833,20.95,94,80,1.79,GN,1622178655
Itoman,26.1247,127.6694,28.08,92,75,7.72,JP,1622178656
Maki,37.75,138.8833,23.83,70,3,2.01,JP,1622178657
Oskemen,49.9565,82.6119,18.98,42,0,7.24,KZ,1622178657
Nässjö,57.6531,14.6968,6.51,88,98,3.06,SE,1622178658
Hilo,19.7297,-155.09,22.73,89,82,2.5,US,1622178225
Wilmington,34.2257,-77.9447,24.96,72,20,4.12,US,1622178658
Marau,-28.4492,-52.2,13.24,85,89,1.59,BR,1622178373
Los Llanos de Aridane,28.6585,-17.9182,13.96,82,75,4.26,ES,1622178659
Sarāhan,31.5167,77.8,23.76,25,0,3.02,IN,1622178659
Mahon,39.8885,4.2658,17.31,88,0,2.06,ES,1622178660
Barbate,36.1924,-5.9219,15.93,92,70,4.27,ES,1622178660
Maroantsetra,-15.4333,49.7333,22.36,82,98,0.62,MG,1622178660
Bathsheba,13.2167,-59.5167,26.32,67,72,6.39,BB,1622178217
Departamento de Maldonado,-34.6667,-54.9167,14.66,87,9,4.17,UY,1622178661
Ilulissat,69.2167,-51.1,9.01,34,94,9.77,GL,1622178477
Marsá Maţrūḩ,31.3525,27.2453,21.64,70,1,7.52,EG,1622178294
Ayan,56.45,138.1667,3.55,79,53,3.34,RU,1622178662
Hryshkivtsi,49.9353,28.6038,14.83,90,88,0.88,UA,1622178663
Ojinaga,29.5667,-104.4167,28.53,54,1,6.69,MX,1622178487
Vieux-Habitants,16.0589,-61.7659,24.76,78,97,5.14,GP,1622178663
Ambon City,-3.6954,128.1814,31.08,66,40,5.19,ID,1622178363
Palu,-0.8917,119.8707,32.74,58,13,1.8,ID,1622178664
Carutapera,-1.195,-46.02,23.64,92,77,1.37,BR,1622178664
Chui,-33.6971,-53.4616,12.23,90,3,2.85,UY,1622178256
Tilichiki,60.4667,166.1,3.28,87,99,3.83,RU,1622178666
Lilongwe,-13.9669,33.7873,12.72,64,0,0.86,MW,1622178667
Sola,-13.8833,167.55,25.14,62,97,3.89,VU,1622178668
Carnarvon,-24.8667,113.6333,29.04,51,1,6.69,AU,1622178344
Dwārka,22.2394,68.9678,29.66,73,77,7.59,IN,1622178668
Torbay,47.6666,-52.7314,9.64,95,100,4.47,CA,1622178669
Laguna,38.421,-121.4238,20.23,66,1,0.89,US,1622178669
Cumana,10.4635,-64.1775,26.05,88,100,3.43,VE,1622178669
Fairbanks,64.8378,-147.7164,8.98,46,20,6.17,US,1622178486
Adelaide,-34.9333,138.6,16.68,68,75,0.45,AU,1622178420
Beloha,-25.1667,45.05,18.64,85,6,1.81,MG,1622178670
Boyabat,41.4689,34.7667,14.0,67,99,0.85,TR,1622178671
Beecher,43.09,-83.6944,5.97,80,90,6.34,US,1622178671
Boende,-0.2167,20.8667,22.81,89,99,1.03,CD,1622178671
Bundaberg,-24.85,152.35,25.68,18,0,2.24,AU,1622178672
Upington,-28.4478,21.2561,12.53,48,45,2.74,ZA,1622178674
Siderno,38.2779,16.302,19.99,67,72,4.71,IT,1622178677
Hong Kong,22.2855,114.1577,32.42,72,100,4.02,HK,1622178605
Shostka,51.863,33.4698,18.16,84,39,2.18,UA,1622178495
Tasiilaq,65.6145,-37.6368,2.09,85,10,2.1,GL,1622178316
Churapcha,62.0025,132.4325,18.71,30,46,2.98,RU,1622178680
Vila Franca do Campo,37.7167,-25.4333,14.23,74,92,2.22,PT,1622178253
Barreirinhas,-2.7469,-42.8264,25.16,81,21,1.69,BR,1622178682
Tsaratanana,-16.7833,47.65,22.22,63,0,2.67,MG,1622178683
Awjilah,29.1081,21.2869,25.57,27,0,3.01,LY,1622178364
Tateyama,34.9833,139.8667,22.06,68,75,7.72,JP,1622178684
Sikonge,-5.6333,32.7667,17.5,76,68,2.35,TZ,1622178686
Hobart,-42.8794,147.3294,10.55,57,75,1.79,AU,1622178205
Havre-St-Pierre,50.2334,-63.5986,3.08,62,3,9.44,CA,1622178689
Ellisras,-23.6649,27.7443,10.1,42,20,1.43,ZA,1622178690
Hobyo,5.3505,48.5268,27.07,75,92,7.7,SO,1622178690
Kavieng,-2.5744,150.7967,27.38,81,97,3.33,PG,1622178259
Shingū,33.7333,135.9833,21.62,53,100,3.72,JP,1622178691
Santa Cruz Cabrália,-16.2781,-39.0247,21.13,94,0,1.93,BR,1622178691
Raudeberg,61.9875,5.1352,11.03,84,42,5.58,NO,1622178692
Gorom-Gorom,14.4439,-0.2361,33.58,34,94,5.84,BF,1622178668
Matara,5.9485,80.5353,28.51,79,95,7.28,LK,1622178693
Lapeer,43.0514,-83.3188,6.18,65,90,3.6,US,1622178694
Harper,4.375,-7.7169,25.97,85,22,2.51,LR,1622178694
Jijiga,9.35,42.8,19.42,71,30,7.59,ET,1622178694
Northallerton,54.339,-1.4324,10.21,92,90,1.34,GB,1622178695
Clyde River,70.4692,-68.5914,-5.65,91,96,2.5,CA,1622178195
Coquimbo,-29.9533,-71.3436,15.67,79,89,1.13,CL,1622178155
Paramonga,-10.6667,-77.8333,18.93,91,80,2.25,PE,1622178696
Lakhipur,26.0299,90.3041,33.11,52,77,2.56,IN,1622178697
Mackenzie,55.2999,-123.1698,7.12,100,90,0.0,CA,1622178697
Khulo,41.644,42.3129,10.96,66,87,1.45,GE,1622178698
São José da Coroa Grande,-8.8978,-35.1478,24.32,85,59,4.51,BR,1622178698
Campeche,19.0,-90.5,25.43,66,50,1.57,MX,1622178699
Am Timan,11.0297,20.2827,27.41,59,66,1.53,TD,1622178699
Kidal,18.4411,1.4078,31.53,5,97,4.82,ML,1622178700
Marawi,7.9986,124.2928,27.8,67,62,1.61,PH,1622178700
Norman Wells,65.282,-126.8329,6.59,77,100,2.35,CA,1622178701
Nirmal,19.1,78.35,35.4,36,100,5.72,IN,1622178702
Hargeisa,9.56,44.065,22.39,61,87,9.38,SO,1622178703
Bang Saphan,11.2126,99.5117,29.97,72,97,2.52,TH,1622178703
Beian,63.6559,9.5683,8.05,71,75,3.09,NO,1622178704
Rawson,-43.3002,-65.1023,11.32,55,95,6.39,AR,1622178704
Iporá,-16.4419,-51.1178,22.92,53,51,1.03,BR,1622178705
Trairi,-3.2778,-39.2689,24.84,84,58,4.81,BR,1622178502
Goundam,16.4145,-3.6708,31.29,19,71,3.26,ML,1622178706
Sangar,63.9242,127.4739,19.86,27,31,1.32,RU,1622178706
Port Macquarie,-31.4333,152.9167,17.91,45,40,7.72,AU,1622178706
Colares,38.7992,-9.4469,15.57,67,38,4.47,PT,1622178707
Ribeira Grande,38.5167,-28.7,15.0,63,100,1.4,PT,1622178228
Quimper,48.0,-4.1,12.32,94,0,2.06,FR,1622178619
Svetlaya,46.5389,138.3297,7.95,93,100,1.82,RU,1622178708
Anadyr,64.75,177.4833,6.67,65,0,1.79,RU,1622178709
Francisco Sá,-16.4758,-43.4883,19.21,82,10,2.19,BR,1622178712
Kumul,42.8,93.45,33.59,9,100,5.31,CN,1622178712
Najrān,17.4924,44.1277,29.39,14,25,0.68,SA,1622178713
Slave Lake,55.2834,-114.769,10.15,98,95,3.07,CA,1622178715
Myaundzha,63.0494,147.1858,10.2,52,100,5.05,RU,1622178719
Ust-Maya,60.4167,134.5333,15.09,50,93,1.52,RU,1622178268
Baracoa,20.3467,-74.4958,25.16,84,66,3.77,CU,1622178720
Moerai,-22.4333,-151.3333,25.93,84,99,6.83,PF,1622178721
Esim,4.8699,-2.2405,25.9,87,86,2.42,GH,1622178722
Mount Isa,-20.7333,139.5,25.87,21,23,3.6,AU,1622178723
Belmonte,-15.8631,-38.8828,21.28,81,4,2.42,BR,1622178723
Hirado,33.3597,129.5531,25.22,80,99,10.23,JP,1622178724
Iqaluit,63.7506,-68.5145,-3.5,86,100,4.92,CA,1622178074
Ust-Nera,64.5667,143.2,14.58,39,100,3.35,RU,1622178725
Lavrentiya,65.5833,-171.0,1.5,85,5,5.08,RU,1622178727
Mackay,-21.15,149.2,24.27,40,0,5.45,AU,1622178727
Guía de Isora,28.2115,-16.7795,14.95,67,100,0.89,ES,1622178728
Atar,20.5169,-13.0499,27.84,22,8,3.15,MR,1622178728
Banda Aceh,5.5577,95.3222,31.46,57,74,5.45,ID,1622178729
Vagay,57.9375,69.0217,12.71,46,77,2.38,RU,1622178730
Malbork,54.0359,19.0266,10.2,91,10,2.74,PL,1622178731
Lom Sak,16.7798,101.2422,32.39,59,96,1.72,TH,1622178733
Touros,-5.1989,-35.4608,23.5,90,22,4.74,BR,1622178733
La Ronge,55.1001,-105.2842,11.58,54,50,6.92,CA,1622178734
Santa Cruz de La Palma,28.6835,-17.7642,19.08,72,75,4.12,ES,1622178464
Kalat,29.0225,66.5916,26.88,13,0,1.61,PK,1622178738
Chimbote,-9.0853,-78.5783,19.02,92,86,2.59,PE,1622178738
Daru,-9.0763,143.2092,26.31,80,94,6.62,PG,1622178739
Saskylakh,71.9167,114.0833,4.0,58,84,2.45,RU,1622178195
Perth,-31.9333,115.8333,22.46,59,0,6.76,AU,1622178503
Linhares,-19.3911,-40.0722,20.35,98,26,0.8,BR,1622178740
The Pas,53.8251,-101.2541,6.7,64,20,5.39,CA,1622178676
Luís Correia,-2.8792,-41.6669,23.84,90,40,3.76,BR,1622178740
Hambantota,6.1241,81.1185,30.06,67,64,10.36,LK,1622178741
Northam,51.0333,-4.2167,10.33,95,100,1.94,GB,1622178741
Neryungri,56.6709,124.6491,7.78,87,100,2.34,RU,1622178742
Yatou,37.15,122.3833,16.84,69,24,12.6,CN,1622178742
Shanghai,31.2222,121.4581,28.05,57,0,0.89,CN,1622178450
Ponta do Sol,32.6667,-17.1,16.72,74,12,0.82,PT,1622178746
Lázaro Cárdenas,17.9583,-102.2,26.45,71,78,0.95,MX,1622178283
Mayya,61.7333,130.2811,18.62,30,58,3.58,RU,1622178747
Saint-Raymond,45.467,-73.6095,5.92,52,40,3.29,CA,1622178747
Pevek,69.7008,170.3133,2.93,77,54,1.82,RU,1622178239
Minot,48.2325,-101.2963,4.72,52,1,3.6,US,1622178554
Asopós,36.7333,22.8667,20.57,43,0,1.48,GR,1622178748
Bartica,6.4,-58.6167,25.18,99,100,0.58,GY,1622178366
Thompson,55.7435,-97.8558,4.29,41,78,4.05,CA,1622178749
Mayo,38.8876,-76.5119,18.98,89,20,2.15,US,1622178315
Kaabong,3.4836,34.1492,19.21,72,98,2.74,UG,1622178749
Noumea,-22.2763,166.4572,24.44,99,83,2.78,NC,1622178368
Okhotsk,59.3833,143.3,7.11,72,100,4.98,RU,1622178252
Fortuna,40.5982,-124.1573,11.9,66,90,0.89,US,1622178697
Chalon-sur-Saône,46.7833,4.85,8.26,95,59,2.22,FR,1622178750
Río Gallegos,-51.6226,-69.2181,0.26,64,96,9.28,AR,1622178657
Havøysund,70.9963,24.6622,3.13,67,100,8.11,NO,1622178751
Kendari,-3.945,122.4989,27.41,83,30,1.81,ID,1622178453
Kita,13.0349,-9.4895,28.28,46,69,0.14,ML,1622178752
Cururupu,-1.8283,-44.8683,22.73,97,49,0.43,BR,1622178752
São Filipe,14.8961,-24.4956,22.05,77,5,4.13,CV,1622178259
Richards Bay,-28.783,32.0377,16.87,43,37,1.97,ZA,1622178753
Amapá,1.0,-52.0,21.76,100,100,0.73,BR,1622178753
Povenets,62.8487,34.8262,6.63,95,90,0.72,RU,1622178754
Jaguarari,-10.2639,-40.1958,14.85,88,79,2.22,BR,1622178755
Pontianak,-0.0333,109.3333,27.99,83,75,2.63,ID,1622178755
Kutum,14.2,24.6667,26.79,15,94,2.19,SD,1622178756
Jiexiu,37.0244,111.9125,26.21,15,0,3.05,CN,1622178756
Nefteyugansk,61.0998,72.6035,3.14,40,82,6.19,RU,1622178757
Tongliao,43.6125,122.2653,19.8,31,100,3.84,CN,1622178757
Nhulunbuy,-12.2333,136.7667,26.34,69,90,3.09,AU,1622178758
Ibotirama,-12.1853,-43.2206,20.24,54,83,1.02,BR,1622178552
Vredendal,-31.6683,18.5012,13.03,84,60,1.46,ZA,1622178758
Hamilton,39.1834,-84.5333,20.28,83,84,0.45,US,1622178036
Iskateley,67.6803,53.1512,6.88,48,100,6.92,RU,1622178759
Haines Junction,60.7522,-137.5108,7.57,75,88,2.8,CA,1622178759
Shache,38.4167,77.2406,30.4,13,0,2.05,CN,1622178759
Eureka,40.8021,-124.1637,12.24,82,78,4.92,US,1622178522
Chai Badan,15.2,101.1333,32.62,59,96,1.35,TH,1622178760
Bekhtery,46.251,32.2927,18.24,56,31,2.48,UA,1622178760
Leningradskiy,69.3833,178.4167,0.9,89,70,5.67,RU,1622178279
Nishihara,26.1842,127.7558,27.84,91,75,7.82,JP,1622178761
Kargil,34.5667,76.1,11.65,21,0,0.98,IN,1622178762
Ribeira Brava,32.65,-17.0667,16.93,75,15,0.67,PT,1622178274
Bathurst,-33.4166,149.5806,12.36,53,4,1.79,AU,1622178763
Kincardine,56.0667,-3.7167,7.57,85,98,0.64,GB,1622178764
