City,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (kph),Country,Date
Walvis Bay,-22.9575,14.5053,20.87,38,1,2.6,NA,1622095396
Cayenne,4.9333,-52.3333,23.38,90,75,1.34,GF,1622095630
Kaili,-3.4626,120.2147,26.31,69,24,1.94,ID,1622095630
Vaini,-21.2,-175.2,23.09,83,20,3.6,TO,1622095630
Rundu,-17.9333,19.7667,11.08,51,0,2.09,NA,1622095631
Lagoa,39.05,-27.9833,14.83,65,100,7.31,PT,1622095631
Outjo,-20.1167,16.15,12.63,45,0,3.53,NA,1622095632
Airai,-8.9266,125.4092,20.33,70,47,2.46,TL,1622095632
Port Elizabeth,-33.918,25.5701,14.35,81,85,2.65,ZA,1622095473
Hasaki,35.7333,140.8333,16.23,92,100,4.81,JP,1622095633
Onalaska,43.8844,-91.2351,11.64,70,1,1.54,US,1622095633
Flinders,-34.5833,150.8552,18.32,51,1,1.79,AU,1622095634
Miandrivazo,-19.5167,45.4667,23.45,57,0,0.9,MG,1622095634
Arlit,18.7369,7.3853,30.17,7,84,2.55,NE,1622095635
Maniitsoq,65.4167,-52.9,5.18,63,21,7.32,GL,1622095635
Yala,6.3333,101.25,32.48,63,100,3.02,TH,1622095636
Bredasdorp,-34.5322,20.0403,11.46,78,100,1.5,ZA,1622095636
Tessalit,20.1986,1.0114,30.69,8,63,4.5,ML,1622095636
Pangody,65.85,74.4859,4.89,49,73,6.44,RU,1622095637
George Town,5.4112,100.3354,28.27,84,40,2.32,MY,1622095637
Thompson,55.7435,-97.8558,-1.28,58,1,1.12,CA,1622095638
Griffith,41.5284,-87.4237,14.57,78,1,0.89,US,1622095457
Saint George,37.1041,-113.5841,21.9,16,1,0.89,US,1622095349
Qaanaaq,77.484,-69.3632,-1.56,73,0,2.78,GL,1622095638
Oktyabr'skiy,54.4815,53.471,16.74,57,1,3.73,RU,1622095639
Esperance,-33.8667,121.9,19.87,45,100,6.53,AU,1622095639
Taoudenni,22.6783,-3.9836,32.06,25,100,4.45,ML,1622095640
São João da Barra,-21.6403,-41.0511,22.2,90,93,2.26,BR,1622095426
Beloha,-25.1667,45.05,21.22,74,2,2.64,MG,1622095632
Lebu,-37.6167,-73.65,13.75,95,100,3.84,CL,1622095641
Saint-Augustin,51.226,-58.6502,7.13,98,100,1.38,CA,1622095641
Grand-Santi,4.25,-54.3833,23.03,99,100,0.63,GF,1622095641
Sawtell,-30.3833,153.1,19.01,55,0,4.12,AU,1622095642
Miepherkeim,38.1419,41.0081,22.16,23,0,1.2,TR,1622095642
Soroti,1.7146,33.6111,22.13,74,55,1.47,UG,1622095643
Saint-Philippe,-21.3585,55.7679,25.63,76,16,1.3,RE,1622095643
Lompoc,34.6391,-120.4579,10.71,82,90,2.57,US,1622095644
Pevek,69.7008,170.3133,0.83,89,23,0.6,RU,1622095645
Kaitangata,-46.2817,169.8464,4.96,68,100,1.83,NZ,1622095645
Yellowknife,62.456,-114.3525,7.96,49,100,0.89,CA,1622095646
Geraldton,-28.7667,114.6,28.23,23,56,3.21,AU,1622095464
Talnakh,69.4865,88.3972,-2.07,80,47,2.66,RU,1622095646
Cape Town,-33.9258,18.4232,12.46,95,75,0.45,ZA,1622095210
Caravelas,-17.7125,-39.2481,21.4,97,31,1.76,BR,1622095647
Tuktoyaktuk,69.4541,-133.0374,-1.44,88,97,3.28,CA,1622095647
Port Alfred,-33.5906,26.891,16.38,84,84,4.16,ZA,1622095647
Torbay,47.6666,-52.7314,8.78,96,90,11.32,CA,1622095529
Tocopilla,-22.092,-70.1979,18.81,66,100,1.98,CL,1622095314
Kumul,42.8,93.45,33.66,7,1,2.46,CN,1622095648
Kaeo,-35.1,173.7833,12.4,77,25,2.28,NZ,1622095648
Yasnyy,51.0333,59.8742,21.85,34,9,8.03,RU,1622095649
Port Hardy,50.6996,-127.4199,8.26,93,100,6.6,CA,1622095650
Creutzwald,49.2,6.6833,8.68,81,22,2.94,FR,1622095650
Saint Paul Harbor,57.79,-152.4072,10.73,62,1,1.54,US,1622095650
Santa Vitória do Palmar,-33.5189,-53.3681,11.75,87,19,4.77,BR,1622095651
Jamestown,42.097,-79.2353,13.83,82,1,4.63,US,1622095497
Bolivar,37.6145,-93.4105,21.36,89,60,0.89,US,1622095479
Gazimurskiy Zavod,51.5461,118.3266,11.78,60,100,2.75,RU,1622095652
Erenhot,43.6475,111.9767,14.62,39,99,11.81,CN,1622095382
Kondinskoye,59.6481,67.41,6.64,88,100,6.45,RU,1622095653
Barabai,-2.5833,115.3833,33.29,54,26,0.67,ID,1622095653
Pierre,44.3683,-100.351,8.51,81,1,9.26,US,1622095653
Kindu,-2.95,25.95,22.12,76,96,1.13,CD,1622095654
Hermanus,-34.4187,19.2345,13.83,72,86,2.87,ZA,1622095654
Souillac,-20.5167,57.5167,27.98,78,40,2.26,MU,1622095654
Havre-St-Pierre,50.2334,-63.5986,8.2,100,90,2.06,CA,1622095655
Bārmer,25.75,71.3833,36.36,35,45,7.15,IN,1622095655
Japura,-0.3167,102.35,32.74,56,84,1.22,ID,1622095655
Conceição da Barra,-18.5933,-39.7322,22.18,93,36,2.04,BR,1622095656
Yaring,6.8662,101.3689,32.86,59,98,5.5,TH,1622095382
Kattivākkam,13.2167,80.3167,35.6,54,14,5.42,IN,1622095657
Albany,42.6001,-73.9662,17.53,90,96,3.37,US,1622095441
Northam,51.0333,-4.2167,8.29,97,38,2.09,GB,1622095658
Elverum,60.8819,11.5623,12.55,52,16,5.1,NO,1622095403
Kota Kinabalu,5.9749,116.0724,32.99,70,20,2.57,MY,1622095658
Klaksvík,62.2266,-6.589,7.51,77,98,6.34,FO,1622095571
Valley City,46.9233,-98.0032,6.3,56,20,5.66,US,1622095504
Bandarbeyla,9.4942,50.8122,29.93,55,69,9.23,SO,1622095659
Martapura,-3.4167,114.85,32.05,58,40,1.49,ID,1622095660
Leningradskiy,69.3833,178.4167,2.11,76,19,2.66,RU,1622095660
Nikolskoye,59.7035,30.7861,13.34,70,39,2.87,RU,1622095660
Santiago,-33.4569,-70.6483,13.85,47,1,1.21,CL,1622095409
Upernavik,72.7868,-56.1549,-0.77,88,59,3.0,GL,1622095661
Klaipėda,55.7172,21.1175,12.03,92,89,5.92,LT,1622095661
Biak,-0.9131,122.8766,28.25,72,16,3.78,ID,1622095662
Tiznit Province,29.5833,-9.5,14.24,86,2,0.66,MA,1622095662
Provideniya,64.3833,-173.3,6.06,52,0,9.0,RU,1622095662
Yangi Marg`ilon,40.4272,71.7189,28.4,32,6,3.09,UZ,1622095663
Detchino,54.8092,36.3075,15.25,79,77,2.2,RU,1622095663
Le Port,-20.9373,55.2919,25.81,71,1,1.19,RE,1622095664
Hong Kong,22.2855,114.1577,32.92,68,32,4.02,HK,1622095508
Narsaq,60.9167,-46.05,7.12,91,95,2.23,GL,1622095664
Avenal,36.0041,-120.129,19.88,29,1,3.17,US,1622095665
Mossamedes,-15.1961,12.1522,23.25,58,0,0.96,AO,1622095665
Kachug,53.9606,105.8817,10.85,42,90,6.07,RU,1622095665
Nelson Bay,-32.7167,152.15,17.34,56,0,3.25,AU,1622095666
Piteå,65.3172,21.4794,8.05,58,15,4.36,SE,1622095666
Batemans Bay,-35.7167,150.1833,17.5,55,4,1.25,AU,1622095666
Vao,-22.6667,167.4833,22.15,72,21,6.0,NC,1622095572
San Juan,-31.5375,-68.5364,21.52,36,0,0.76,AR,1622095419
Hervey Bay,-25.2986,152.8535,23.9,65,4,2.24,AU,1622095667
Isangel,-19.55,169.2667,22.72,70,18,1.95,VU,1622095668
Ampanihy,-24.7,44.75,20.7,72,8,2.74,MG,1622095668
East London,-33.0153,27.9116,16.91,75,81,2.73,ZA,1622095669
Taldan,53.6667,124.8,10.34,54,100,0.99,RU,1622095669
Acaraú,-2.8856,-40.12,24.88,88,45,6.13,BR,1622095670
Hithadhoo,-0.6,73.0833,28.66,71,92,8.14,MV,1622095670
Port Macquarie,-31.4333,152.9167,17.72,58,24,3.96,AU,1622095671
Castro,-24.7911,-50.0119,14.36,64,100,0.82,BR,1622095671
Apiaí,-24.5094,-48.8425,12.66,59,97,0.81,BR,1622095672
Saint-Leu,-21.15,55.2833,25.44,72,1,1.56,RE,1622095673
Kiunga,-6.1219,141.2906,28.48,69,79,2.24,PG,1622095673
Leshukonskoye,64.8989,45.7622,7.09,40,80,1.91,RU,1622095673
Ribeira Grande,38.5167,-28.7,15.3,65,97,6.82,PT,1622095674
Hosangadi,13.7,74.95,30.7,59,99,3.27,IN,1622095674
Port Lincoln,-34.7333,135.8667,15.97,65,99,3.82,AU,1622095675
Kruisfontein,-34.0033,24.7314,13.6,73,95,2.85,ZA,1622095675
Hokitika,-42.7167,170.9667,9.81,75,100,2.47,NZ,1622095676
Ancud,-41.8697,-73.8203,13.74,96,100,12.03,CL,1622095676
Iqaluit,63.7506,-68.5145,-7.56,87,6,3.36,CA,1622095676
Calatayud,41.3535,-1.6432,12.33,71,73,0.87,ES,1622095677
Kisangani,0.5167,25.2,25.15,76,100,0.93,CD,1622095677
Puerto Escondido,15.85,-97.0667,28.2,73,99,2.27,MX,1622095678
Hilo,19.7297,-155.09,22.86,85,90,0.0,US,1622095417
Luoyang,34.6836,112.4536,36.88,9,0,7.41,CN,1622095678
Tasiilaq,65.6145,-37.6368,5.09,94,100,10.34,GL,1622095678
Padang,-0.9492,100.3543,30.03,80,91,1.85,ID,1622095679
Shimoda,34.6667,138.95,15.69,96,100,5.96,JP,1622095679
São Filipe,14.8961,-24.4956,22.93,77,0,4.67,CV,1622095680
Mayo,38.8876,-76.5119,20.06,94,1,0.89,US,1622095680
Norman Wells,65.282,-126.8329,4.73,95,99,4.7,CA,1622095680
Coquimbo,-29.9533,-71.3436,8.85,100,20,2.05,CL,1622095396
Cabo San Lucas,22.8909,-109.9124,26.05,55,82,6.95,MX,1622095453
Itaituba,-4.2761,-55.9836,23.36,76,44,0.32,BR,1622095681
Cherskiy,68.75,161.3,16.43,34,63,4.85,RU,1622095682
Batticaloa,7.7102,81.6924,29.46,66,100,8.98,LK,1622095569
Newport News,36.9788,-76.428,25.51,65,75,4.24,US,1622095666
Zhigansk,66.7697,123.3711,15.93,33,59,7.54,RU,1622095683
Mikuni,36.2171,136.1519,14.38,93,100,0.35,JP,1622095683
Maceió,-9.6658,-35.7353,24.69,88,40,4.24,BR,1622095549
Bangolo,7.0069,-7.475,22.44,100,97,0.66,CI,1622095684
Kollam,8.8833,76.6,28.93,84,100,4.08,IN,1622095684
Puerto Ayora,-0.7393,-90.3518,23.64,93,65,0.89,EC,1622095684
Biała Podlaska,52.0324,23.1165,14.95,74,90,4.41,PL,1622095490
Shirokiy,49.758,129.523,16.45,46,40,2.59,RU,1622095685
Nanortalik,60.1432,-45.2371,3.08,83,72,3.59,GL,1622095685
Bunda,-2.05,33.8667,20.81,69,96,3.61,TZ,1622095686
Vila Franca do Campo,37.7167,-25.4333,15.23,77,91,4.69,PT,1622095686
Upata,8.0086,-62.3989,22.33,94,100,2.39,VE,1622095687
Blackwater,-23.5833,148.8833,25.84,30,1,6.07,AU,1622095687
Santa Cruz de la Sierra,-17.8,-63.1667,19.7,94,75,2.76,BO,1622095621
Laguna,38.421,-121.4238,17.62,52,1,0.45,US,1622095688
Dauriya,49.9333,116.8667,16.29,28,63,3.66,RU,1622095688
Taiyuan,37.8694,112.5603,30.92,10,20,11.65,CN,1622095557
Dikson,73.5069,80.5464,-1.02,86,96,4.54,RU,1622095689
Bac Lieu,9.285,105.7244,26.8,81,100,5.75,VN,1622095595
Huayucachi,-12.1333,-75.2333,7.25,90,98,0.38,PE,1622095689
Tucuruí,-3.7661,-49.6725,23.17,91,46,1.54,BR,1622095690
Ibiapina,-3.9233,-40.8894,16.92,71,28,1.39,BR,1622095690
Hebi,35.8992,114.1925,38.12,8,0,8.58,CN,1622095690
Margate,51.3813,1.3862,11.09,80,11,1.34,GB,1622095691
Tommot,58.9564,126.2925,11.34,83,100,1.49,RU,1622095691
Bengkulu,-3.8004,102.2655,31.21,62,70,4.4,ID,1622095692
Ixtapa,20.7,-105.2,25.68,77,1,1.0,MX,1622095692
Shubarkuduk,49.1447,56.4872,28.58,39,15,6.82,KZ,1622095692
Vanimo,-2.6741,141.3028,29.5,69,40,4.38,PG,1622095693
Krasnoarmiys'k,48.282,37.1758,21.28,50,92,3.02,UA,1622095693
Kapaa,22.0752,-159.319,23.4,84,75,3.86,US,1622095694
Ponta do Sol,32.6667,-17.1,17.32,73,100,1.87,PT,1622095694
Boddam,57.4667,-1.7833,8.48,85,97,3.76,GB,1622095788
Taikang,46.8333,124.4167,18.32,37,70,4.29,CN,1622095788
Buchanan,5.8808,-10.0467,24.98,87,66,0.46,LR,1622095789
Alofi,-19.0595,-169.9187,25.68,81,36,3.95,NU,1622095789
Katangli,51.7102,143.2326,7.39,60,84,3.08,RU,1622095789
Bambous Virieux,-20.3428,57.7575,25.42,76,18,2.17,MU,1622095790
Sobolevo,54.4299,31.8996,15.33,70,17,2.95,RU,1622095790
Pingliang,35.5392,106.6861,28.67,18,19,6.55,CN,1622095790
Lavrentiya,65.5833,-171.0,2.64,73,63,5.72,RU,1622095791
Sakaiminato,35.55,133.2333,18.79,79,98,7.3,JP,1622095791
Huilong,31.8111,121.655,27.21,68,95,3.44,CN,1622095792
Kibala,9.1104,18.3463,25.67,70,99,2.53,TD,1622095792
Flin Flon,54.7682,-101.865,0.53,59,3,2.58,CA,1622095792
Wonthaggi,-38.6044,145.5913,12.5,72,66,9.44,AU,1622095793
Pangnirtung,66.1451,-65.7125,-3.89,85,100,2.34,CA,1622095793
Tabou,4.423,-7.3528,25.66,88,99,0.88,CI,1622095794
College,64.8569,-147.8028,14.43,45,90,2.06,US,1622095794
Gachsaran,30.3586,50.7981,31.38,13,0,1.75,IR,1622095795
Esim,4.8699,-2.2405,26.22,86,86,3.25,GH,1622095795
Salisbury,51.0693,-1.7957,7.58,91,20,0.51,GB,1622095595
Portland,45.5234,-122.6762,14.57,71,75,0.45,US,1622095740
Saskylakh,71.9167,114.0833,3.75,68,100,6.31,RU,1622095796
Ouallam,14.3188,2.0866,30.79,28,8,3.0,NE,1622095796
Manado,1.487,124.8455,31.43,66,75,1.37,ID,1622095796
San Patricio,28.017,-97.5169,25.28,91,1,5.39,US,1622095797
Butaritari,3.0707,172.7902,28.17,80,75,8.35,KI,1622095797
Qiongshan,20.0058,110.3542,36.11,45,97,6.18,CN,1622095798
Grand Gaube,-20.0064,57.6608,25.25,78,10,3.54,MU,1622095798
Nemuro,43.3236,145.575,9.06,84,66,3.94,JP,1622095798
Nyrob,60.733,56.7202,8.91,39,13,2.41,RU,1622095799
Urubichá,-15.3833,-62.95,20.77,90,57,0.93,BO,1622095800
Abancay,-13.6339,-72.8814,11.89,88,99,0.62,PE,1622095800
Hamilton,39.1834,-84.5333,19.21,94,90,1.34,US,1622095801
Nurota,40.5614,65.6886,34.05,14,37,2.26,UZ,1622095801
El Alto,-4.2714,-81.2147,20.51,84,16,5.1,PE,1622095806
Cidreira,-30.1811,-50.2056,12.6,74,67,3.41,BR,1622095806
Khuzdar,27.7384,66.6434,35.56,7,0,2.09,PK,1622095807
Port Hedland,-20.3167,118.5667,26.76,55,89,7.07,AU,1622095807
Sakakah,29.9697,40.2064,32.25,11,0,3.12,SA,1622095808
Quime,-16.9833,-67.2167,7.31,85,81,0.11,BO,1622095808
Kyra,49.5776,111.9753,13.78,39,95,8.1,RU,1622095808
Cuiluan,47.72,128.648,16.17,46,95,3.67,CN,1622095809
Conchal,-22.3303,-47.1725,10.07,67,96,0.31,BR,1622095809
Manoel Urbano,-8.8389,-69.2597,22.06,83,27,0.55,BR,1622095810
Mar del Plata,-38.0023,-57.5575,10.9,30,82,4.47,AR,1622095750
Acapulco de Juárez,16.8634,-99.8901,27.39,63,63,1.9,MX,1622095740
Touros,-5.1989,-35.4608,23.5,92,25,5.4,BR,1622095677
Gornopravdinsk,60.05,69.9,12.01,42,52,6.09,RU,1622095811
Hobyo,5.3505,48.5268,28.32,63,51,7.45,SO,1622095811
Kuminskiy,58.6667,66.5667,8.22,69,98,5.33,RU,1622095811
Saint-François,46.4154,3.9054,10.77,89,75,1.54,FR,1622095812
Roebourne,-20.7833,117.1333,27.29,46,96,7.13,AU,1622095812
Dunedin,-45.8742,170.5036,6.56,61,100,0.89,NZ,1622095813
Chicama,-7.8447,-79.1469,19.58,90,31,2.05,PE,1622095813
Stornoway,58.2093,-6.3865,8.98,81,90,2.57,GB,1622095813
Tomatlán,19.9333,-105.25,23.18,82,2,1.36,MX,1622095814
Hirara,24.8,125.2833,28.74,85,81,7.33,JP,1622095635
Makakilo City,21.3469,-158.0858,24.85,65,40,3.09,US,1622095814
Atbasar,51.8,68.3333,21.0,31,9,6.8,KZ,1622095815
Presidente Epitácio,-21.7633,-52.1156,18.85,56,21,1.77,BR,1622095815
Ambāh,26.7075,78.2261,39.89,11,77,2.74,IN,1622095695
Cockburn Town,21.4612,-71.1419,25.82,79,6,6.29,TC,1622095816
Cheremnoye,53.1697,83.2133,28.33,47,59,5.14,RU,1622095816
Evensk,61.95,159.2333,8.01,69,100,7.57,RU,1622095817
Ocós,14.5094,-92.1933,26.32,71,100,1.99,GT,1622095817
Vardø,70.3705,31.1107,5.99,61,0,8.75,NO,1622095817
Kampong Thom,12.7111,104.8887,30.67,70,97,2.51,KH,1622095818
Toba,34.4833,136.85,16.0,96,100,1.79,JP,1622095818
Tver',56.8619,35.8931,15.06,64,17,0.29,RU,1622095788
Pustoshka,56.3355,29.369,14.44,63,44,3.96,RU,1622095819
Meulaboh,4.1363,96.1285,26.31,83,100,2.64,ID,1622095819
Samarai,-10.6167,150.6667,26.2,76,85,6.66,PG,1622095819
Ombessa,4.603,11.2565,21.22,97,94,0.74,CM,1622095820
Saint-Pierre,-21.3393,55.4781,25.9,68,0,1.54,RE,1622095820
Vallenar,-28.5708,-70.7581,19.99,12,13,2.0,CL,1622095821
Gazli,40.1333,63.45,35.6,12,6,6.84,UZ,1622095821
Ndungu,-4.3667,38.05,23.84,64,30,1.64,TZ,1622095822
Prachuap Khiri Khan,12.2167,99.75,26.32,81,100,4.14,TH,1622095822
Severobaykal'sk,55.65,109.3167,4.68,62,71,2.48,RU,1622095823
Okhotsk,59.3833,143.3,5.52,80,100,3.99,RU,1622095823
Baracoa,20.3467,-74.4958,25.23,88,77,3.47,CU,1622095823
Khatanga,71.9667,102.5,-1.3,78,71,3.54,RU,1622095824
Sechura,-5.5569,-80.8222,21.19,82,8,3.76,PE,1622095824
Likasi,-10.9814,26.7333,12.64,59,0,2.23,CD,1622095825
Barra do Garças,-15.89,-52.2567,22.14,69,41,1.05,BR,1622095825
Ilām,26.9167,87.9167,19.11,91,100,2.81,NP,1622095825
Kargasok,59.0556,80.8572,9.92,85,88,7.03,RU,1622095825
Tolaga Bay,-38.3667,178.3,12.33,81,100,3.32,NZ,1622095826
Lumsden,50.6501,-104.8678,5.33,56,90,4.51,CA,1622095826
Bethel,41.3712,-73.414,19.36,89,100,2.41,US,1622095827
Mattru,7.6244,-11.8332,23.36,98,93,1.51,SL,1622095828
Jamūī,24.9167,86.2167,26.87,78,100,11.97,IN,1622095828
Mandalgovi,45.7625,106.2708,13.24,27,3,9.64,MN,1622095829
Oruzgan,32.8333,66.0,29.41,9,0,1.08,AF,1622095829
Kununurra,-15.7667,128.7333,31.99,23,51,6.69,AU,1622095830
Hīt,33.6416,42.8251,35.0,14,0,1.05,IQ,1622095830
São Miguel do Araguaia,-13.275,-50.1628,22.93,46,68,0.7,BR,1622095830
Baghdad,33.3406,44.4009,35.95,20,0,2.01,IQ,1622095831
Gravelbourg,49.8834,-106.5512,7.02,58,100,3.88,CA,1622095831
Bukachacha,52.9833,116.9167,15.62,35,100,2.69,RU,1622095832
La Ronge,55.1001,-105.2842,2.93,72,48,3.43,CA,1622095832
Eldorado,-23.7869,-54.2836,17.38,60,98,1.31,BR,1622095832
Abhā,18.2164,42.5053,27.14,11,0,3.65,SA,1622095693
Alikovo,55.7383,46.7549,14.93,64,8,2.33,RU,1622095833
Vaxjo,56.8777,14.8091,8.95,93,75,1.03,SE,1622095834
San Policarpo,12.1791,125.5072,29.47,73,100,3.4,PH,1622095834
Lorengau,-2.0226,147.2712,25.22,92,100,6.25,PG,1622095834
Yulara,-25.2406,130.9889,17.91,32,94,7.2,AU,1622095835
Nome,64.5011,-165.4064,16.03,28,1,6.17,US,1622095835
Zhangaözen,43.3,52.8,26.11,38,97,5.58,KZ,1622095836
Province of Mantua,45.1667,10.7833,16.67,80,64,1.34,IT,1622095807
Mayumba,-3.432,10.6554,25.49,90,100,3.44,GA,1622095836
Tharād,24.3961,71.6267,35.4,43,11,6.58,IN,1622095837
Pemberton,50.3164,-122.8027,10.22,89,99,2.28,CA,1622095800
Lüderitz,-26.6481,15.1594,16.28,71,63,3.89,NA,1622095838
Conselheiro Pena,-19.1722,-41.4722,20.45,96,23,0.76,BR,1622095838
Mutoko,-17.397,32.2268,12.69,46,0,1.21,ZW,1622095839
Tuatapere,-46.1333,167.6833,9.9,83,100,3.01,NZ,1622095839
Sioux Lookout,50.1001,-91.917,-1.49,62,14,1.82,CA,1622095840
Santa Maria,-29.6842,-53.8069,10.59,69,14,1.56,BR,1622095631
Santa Cruz Cabrália,-16.2781,-39.0247,20.13,94,0,2.11,BR,1622095841
Kiryat Gat,31.61,34.7642,25.45,42,0,1.84,IL,1622095841
Sirajganj,24.45,89.7167,27.52,80,100,10.01,BD,1622095841
Oranjemund,-28.55,16.4333,13.27,83,80,1.66,NA,1622095842
Ulaangom,49.9811,92.0667,22.47,34,1,5.18,MN,1622095842
Inírida,3.8653,-67.9239,22.11,98,73,1.25,CO,1622095842
Faanui,-16.4833,-151.75,27.24,70,15,5.4,PF,1622095843
Effingham County,32.3669,-81.3332,23.56,79,71,2.44,US,1622095843
Salta,-24.7859,-65.4117,11.51,69,100,0.94,AR,1622095752
Peru,40.7537,-86.0689,16.01,81,1,2.84,US,1622095806
Guerrero Negro,27.9769,-114.0611,16.21,89,68,5.23,MX,1622095844
Tigil',57.8,158.6667,10.51,45,66,6.47,RU,1622095845
Bloomfield,40.8068,-74.1854,19.93,90,90,0.45,US,1622095631
Dudinka,69.4058,86.1778,-3.14,90,88,2.62,RU,1622095845
Chimbote,-9.0853,-78.5783,19.13,89,80,2.07,PE,1622095846
Kul'dur,49.2167,131.6333,13.48,64,49,2.95,RU,1622095846
Beringovskiy,63.05,179.3167,0.67,97,100,8.1,RU,1622095847
Rawlins,41.7911,-107.2387,7.43,43,1,5.7,US,1622095847
Sorong,-0.8833,131.25,28.81,78,99,2.84,ID,1622095847
Bereda,43.2686,-7.5406,10.18,100,65,0.37,ES,1622095848
Masuguru,-11.3667,38.4167,22.4,66,24,2.46,TZ,1622095848
Saysain,14.5611,120.3925,35.65,58,80,3.99,PH,1622095809
Prince Rupert,54.3161,-130.3201,8.27,93,100,2.64,CA,1622095849
Monastyrshchina,54.3496,31.838,15.4,70,17,2.95,RU,1622095849
Natá,8.3333,-80.5167,25.81,91,100,1.42,PA,1622095850
Cortez,37.3489,-108.5859,7.86,36,1,4.12,US,1622095850
Teacapan,22.55,-105.75,24.93,74,21,0.91,MX,1622095850
Agirish,61.9247,63.0231,8.63,35,40,3.84,RU,1622095851
Englewood,39.6478,-104.9878,14.72,39,75,0.45,US,1622095851
Bossangoa,6.4926,17.4552,22.62,90,100,1.19,CF,1622095851
Kahului,20.8947,-156.47,23.97,84,1,2.57,US,1622095721
Qaqortoq,60.7167,-46.0333,7.28,87,86,3.45,GL,1622095804
Mweka,-4.85,21.5667,20.23,58,51,1.37,CD,1622095852
Meadow Lake,34.8014,-106.5436,18.36,18,72,2.75,US,1622095853
Jhajha,24.7667,86.3667,26.74,80,100,11.7,IN,1622095853
Avera,33.194,-82.5271,22.94,54,69,3.52,US,1622095854
Rochegda,62.8,43.25,3.0,95,99,2.84,RU,1622095854
Pathein,16.7833,94.7333,34.51,48,96,3.05,MM,1622095855
Makat,47.6469,53.3463,29.7,28,93,6.22,KZ,1622095855
Omboué,-1.5746,9.2618,25.06,89,100,2.48,GA,1622095855
Åmot,59.5714,7.9877,9.3,74,77,2.8,NO,1622095855
Jiexiu,37.0244,111.9125,31.96,11,0,10.94,CN,1622095856
Sirte,31.2089,16.5887,21.85,66,50,1.12,LY,1622095856
Gijón,43.5357,-5.6615,10.69,92,28,0.45,ES,1622095849
Tamiahua,21.2667,-97.45,25.81,89,65,1.97,MX,1622095857
Comodoro Rivadavia,-45.8667,-67.5,9.37,76,100,2.45,AR,1622095857
Bilma,18.6853,12.9164,30.39,8,7,0.89,NE,1622095857
Sistranda,63.7256,8.834,8.98,76,77,3.89,NO,1622095858
Mishan,45.55,131.8833,18.68,42,76,2.25,CN,1622095858
Kodinsk,58.6881,99.1844,12.48,25,5,2.35,RU,1622095796
Amoy,24.4798,118.0819,31.13,67,38,5.65,CN,1622095775
Mogadishu,2.0371,45.3438,27.14,72,45,6.46,SO,1622095860
